co_municipio,,no_municipio,,,populacao,,populacao,
351880,",'",GUARULHOS,,",",1404694,,"1,404,694","INSERT INTO public.populacao VALUES (351880,'GUARULHOS',1404694);"
355180,",'",SETE BARRAS,,",",12731,,"12,731","INSERT INTO public.populacao VALUES (355180,'SETE BARRAS',12731);"
352730,",'",LOUVEIRA,,",",51000,,0,"INSERT INTO public.populacao VALUES (352730,'LOUVEIRA',51000);"
355390,",'",TARABAI,,",",7609,,"7,609","INSERT INTO public.populacao VALUES (355390,'TARABAI',7609);"
355250,",'",SUZANO,,",",303397,,"303,397","INSERT INTO public.populacao VALUES (355250,'SUZANO',303397);"
353430,",'",ORLANDIA,,",",44682,,0,"INSERT INTO public.populacao VALUES (353430,'ORLANDIA',44682);"
352410,",'",ITUVERAVA,,",",42259,,"42,259","INSERT INTO public.populacao VALUES (352410,'ITUVERAVA',42259);"
353490,",'",PACAEMBU,,",",14326,,"14,326","INSERT INTO public.populacao VALUES (353490,'PACAEMBU',14326);"
353530,",'",PALMITAL,,",",22322,,"22,322","INSERT INTO public.populacao VALUES (353530,'PALMITAL',22322);"
353215,",'",NANTES,,",",3215,,"3,215","INSERT INTO public.populacao VALUES (353215,'NANTES',3215);"
352750,",'",LUCIANOPOLIS,,",",2412,,"2,412","INSERT INTO public.populacao VALUES (352750,'LUCIANOPOLIS',2412);"
354105,",'",PRATANIA,,",",5371,,0,"INSERT INTO public.populacao VALUES (354105,'PRATANIA',5371);"
355640,",'",VARGEM GRANDE DO SUL,,",",43368,,"43,368","INSERT INTO public.populacao VALUES (355640,'VARGEM GRANDE DO SUL',43368);"
353480,",'",OURO VERDE,,",",8676,,"8,676","INSERT INTO public.populacao VALUES (353480,'OURO VERDE',8676);"
353286,",'",NOVA CASTILHO,,",",1290,,"1,29","INSERT INTO public.populacao VALUES (353286,'NOVA CASTILHO',1290);"
353284,",'",NOVA CANAA PAULISTA,,",",1824,,"1,824","INSERT INTO public.populacao VALUES (353284,'NOVA CANAA PAULISTA',1824);"
355600,",'",URUPES,,",",13965,,0,"INSERT INTO public.populacao VALUES (355600,'URUPES',13965);"
